addr1,addr2,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,modifiedtime,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
서울특별시 종로구 북촌로 57 (가회동),,2733967,12,20210817184103,http://tong.visitkorea.or.kr/cms/resource/09/3303909_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3303909_image3_1.jpg,126.9846616856,37.5820858828,20250312152659,,가회동성당,03052,11,110,HS,HS03,HS030200
서울특별시 동대문구 서울시립대로2길 59 (답십리동),,2763807,12,20211027233001,http://tong.visitkorea.or.kr/cms/resource/80/3505480_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3505480_image3_1.jpg,127.0490783005,37.5728353382,20250711160959,,간데메공원,02595,11,230,VE,VE03,VE030100
서울특별시 도봉구 시루봉로 149-18 (방학동),,3483083,12,20250324132519,http://tong.visitkorea.or.kr/cms/resource/81/3483081_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3483081_image3_1.jpg,127.0282025819,37.6649464754,20250324132532,,간송옛집,01316,11,320,HS,HS01,HS010400
서울특별시 양천구 신정동 162-56,,1116925,12,20101026223528,http://tong.visitkorea.or.kr/cms/resource/90/3467490_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/3467490_image3_1.jpg,126.8684105358,37.5061176314,20250624100230,,갈산공원,08104,11,470,VE,VE03,VE030400
서울특별시 종로구 율곡로23길 16 (충신동),,294439,12,20071127005251,http://tong.visitkorea.or.kr/cms/resource/22/3481922_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3481922_image3_1.jpg,127.0066515383,37.5753815016,20250311172529,,감로암(서울),03099,11,110,HS,HS03,HS030100
서울특별시 강남구 압구정로 161 (압구정동),강남메디컬투어센터,264570,12,20050623224701,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/1984608_image3_1.jpg,127.0270732739,37.5268958352,20250604133052,,강남,06001,11,680,EX,EX07,EX070200
서울특별시 강남구 영동대로 513,(삼성동),2456536,12,20161214231140,http://tong.visitkorea.or.kr/cms/resource/13/3464913_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3464913_image3_1.jpg,127.0591318945,37.5118092746,20250108161021,,강남 마이스 관광특구,06164,11,680,VE,VE05,VE050100
서울특별시 강동구 구천면로 141 (천호동),,127377,12,20040227090000,http://tong.visitkorea.or.kr/cms/resource/55/3508255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3508255_image3_1.jpg,127.1207892964,37.5426290283,20250717104911,,강동예찬시비,05246,11,740,HS,HS02,HS020100
서울특별시 광진구 구의강변로 45 (구의동),,128961,12,20060508090000,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/3401698_image3_1.JPG,127.0913227521,37.5349377239,20250328153350,,강변스파랜드,05049,11,215,EX,EX05,EX050200
서울특별시 강서구 양천로27길 279-23,(방화동),809490,12,20090924090047,http://tong.visitkorea.or.kr/cms/resource/70/3526770_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3526770_image3_1.jpg,126.8171490732,37.5860879769,20250826131558,,강서습지생태공원,07518,11,500,NA,NA03,NA030400
서울특별시 강서구 양천로 291 (마곡동),,3043735,12,20231120105441,http://tong.visitkorea.or.kr/cms/resource/09/3045109_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3045109_image3_1.jpg,126.8366643489,37.5722343802,20250613091300,,강서역사문화거리,07520,11,500,VE,VE04,VE040100
서울특별시 강서구 양천로27길 279-23 (방화동),,2733968,12,20210817184655,http://tong.visitkorea.or.kr/cms/resource/91/3509791_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3509791_image3_1.jpg,126.8171601831,37.5860935311,20250724101154,,강서한강공원,07518,11,500,VE,VE03,VE030100
서울특별시 구로구 개봉동,195-7,2591792,12,20190313221125,,,126.8632141714,37.4924524597,20250316162225,,개봉유수지 생태공원,08329,11,530,VE,VE03,VE030100
서울특별시 성북구 개운사길 73 (안암동5가),,126501,12,20041230090000,http://tong.visitkorea.or.kr/cms/resource/01/3524101_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/3524101_image3_1.jpg,127.0282880342,37.5902162775,20250820142302,,개운사(서울),02842,11,290,HS,HS03,HS030100
서울특별시 강서구 개화동,산 81-13,3385911,12,20241011154701,http://tong.visitkorea.or.kr/cms/resource/69/3383069_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/69/3383069_image3_1.JPG,126.8045142510,37.5812522032,20250319184548,,개화산 호국공원,07504,11,500,VE,VE03,VE030500
서울특별시 성동구 고산자로 71 (성수동1가),,3440844,12,20241210133055,http://tong.visitkorea.or.kr/cms/resource/23/3440823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3440823_image3_1.jpg,127.0361052512,37.5457465853,20250731150501,0507-1357-8670,거꾸로하우스,04771,11,200,EX,EX07,EX070200
서울특별시 구로구 구로동,73-1,2733966,12,20210817184201,http://tong.visitkorea.or.kr/cms/resource/86/2780786_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/86/2780786_image2_1.png,126.8916141621,37.4995521419,20250331152327,,거리공원,08297,11,530,VE,VE03,VE030100
서울특별시 용산구 이촌동 302-183,,2758868,12,20211019192122,http://tong.visitkorea.or.kr/cms/resource/02/3446702_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3446702_image3_1.jpg,126.9676539295,37.5182707714,20241217162200,,거북선나루터,,11,170,NA,NA02,NA020100
서울특별시 종로구 사직로 161 (세종로),,1604652,12,20120417200928,http://tong.visitkorea.or.kr/cms/resource/10/2527110_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2527110_image3_1.jpg,126.9767375783,37.5760836609,20250313155516,,건청궁,03045,11,110,HS,HS01,HS011200
서울특별시 성북구 보국문로 113-10 (정릉동),,294505,12,20071127021151,,,127.0056310926,37.6139242251,20250318210632,,경국사(서울),02705,11,290,HS,HS03,HS030100
서울특별시 용산구 이태원동,210-65,2930839,12,20221206170152,,,126.9875154390,37.5384521160,20240522153723,,경리단길,04343,11,170,EX,EX07,EX070200
서울특별시 종로구 사직로 161 (세종로),,126508,12,20041230090000,http://tong.visitkorea.or.kr/cms/resource/94/3487594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3487594_image3_1.jpg,126.9767375783,37.5760836609,20250910140307,,경복궁,03045,11,110,HS,HS01,HS010100
서울특별시 중구 세종대로 125 (태평로1가),,2373204,12,20160317011015,http://tong.visitkorea.or.kr/cms/resource/30/3077530_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/3077530_image3_1.JPG,126.9768017026,37.5675596526,20250820142318,,경성 부민관 폭탄 의거지,04519,11,140,HS,HS01,HS011200
서울특별시 종로구 인사동10길 23-9,(경운동),264470,12,20040225025300,http://tong.visitkorea.or.kr/cms/resource/59/1568059_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/1568059_image3_1.jpg,126.9858034574,37.5747089831,20250909173100,,경운동민병옥가옥,03146,11,110,HS,HS01,HS011100
서울특별시 마포구 와우산로37길 35,,2500229,12,20170718230034,http://tong.visitkorea.or.kr/cms/resource/79/3381279_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3381279_image3_1.jpg,126.9290369242,37.5564989709,20250317203919,,경의선책거리,04056,11,440,VE,VE04,VE040100
